Group,Legacy_signal,Firmware_signal,Role,DB25_pin,Mega_pin,Mega_port_bit,Direction,Polarity,Notes
Address bus,D0,ADDR_BIT0,Adresse section bit 0,2,D22,PORTA.0,OUTPUT,direct,Bits 0-6 = index section 0-36
Address bus,D1,ADDR_BIT1,Adresse section bit 1,3,D23,PORTA.1,OUTPUT,direct,
Address bus,D2,ADDR_BIT2,Adresse section bit 2,4,D24,PORTA.2,OUTPUT,direct,
Address bus,D3,ADDR_BIT3,Adresse section bit 3,5,D25,PORTA.3,OUTPUT,direct,
Address bus,D4,ADDR_BIT4,Adresse section bit 4,6,D26,PORTA.4,OUTPUT,direct,
Address bus,D5,ADDR_BIT5,Adresse section bit 5,7,D27,PORTA.5,OUTPUT,direct,
Address bus,D6,ADDR_BIT6,Adresse section bit 6,8,D28,PORTA.6,OUTPUT,direct,
Address bus,D7,POWER_FLAG,Drapeau alimentation (0=lecture / 1=energiser),9,D29,PORTA.7,OUTPUT,direct,Bit 7 distingue scan vs alimentation
Control,C0,LATCH,Verrouille l'adresse et declenche l'action du module,1,D30,PORTC.7,OUTPUT,inverse,Actif a l'etat bas cote module
Control,C1,TRANSACTION_END,Marque la fin d'une transaction,14,D31,PORTC.6,OUTPUT,inverse,Actif a l'etat bas cote module
Sensing,S3,TRAIN_SENSE,Detection d'un train dans la section selectionnee,15,D32,PORTC.5,INPUT,direct,Resistance serie 1k recommandee
Ground,GND,GND,Masse commune,18-25,GND,-,-,-,Tous les retours de masse ensemble vers GND Mega
